date,userID,currentRanking,votePerPostRanking,tier,points,totalGoldMedals,totalSilverMedals,totalBronzeMedals,votesPerPost,totalDiscussionsCount,totalTopicsCount,totalRepliesCount,totalUpvotesCount
2022-12-16,optimo,341,244,EXPERT,220,10,20,245,1.6905829596412556,446,15,431,754
2022-12-16,ankitp013,342,353,EXPERT,220,0,1,613,0.7323340471092077,934,20,914,684
2022-12-16,meetnagadia,343,203,EXPERT,218,9,12,164,2.0646900269541777,371,32,339,766
2022-12-16,bakeryproducts,344,83,EXPERT,217,7,7,56,4.3861386138613865,101,4,97,443
2022-12-16,jonathanbesomi,345,40,EXPERT,216,7,2,53,6.039370078740157,127,16,111,767
2022-12-16,mithilsalunkhe,346,264,EXPERT,216,8,13,139,1.3779761904761905,336,32,304,463
2022-12-16,yvonnef,347,313,EXPERT,215,5,5,298,0.9642857142857144,672,13,659,648
2022-12-16,ishandutta,348,229,EXPERT,214,14,16,162,1.8602620087336244,458,85,373,852
2022-12-16,gauravbrills,349,311,EXPERT,213,3,5,175,0.9719887955182072,357,6,351,347
2022-12-16,manabendrarout,350,266,EXPERT,213,7,7,342,1.3682310469314078,554,29,525,758
2022-12-16,nghihuynh,351,274,EXPERT,213,4,6,88,1.2727272727272727,209,9,200,266
2022-12-16,olegsidorshin,352,50,EXPERT,213,5,3,44,5.549295774647887,71,7,64,394
2022-12-16,omkargowda,353,306,EXPERT,212,3,1,208,0.9938650306748468,326,5,321,324
2022-12-16,siukeitin,354,215,EXPERT,210,3,18,108,1.9944751381215469,181,7,174,361
2022-12-16,batrosjamali,355,54,EXPERT,210,4,9,58,5.373015873015873,126,22,104,677
2022-12-16,kurupical,356,42,EXPERT,209,12,8,53,5.851485148514851,101,12,89,591
2022-12-16,cid007,357,354,EXPERT,208,0,2,227,0.7262872628726287,369,8,361,268
2022-12-16,jeffsonas,358,289,MASTER,206,12,39,358,1.1291666666666669,1200,135,1065,1355
2022-12-16,ogrellier,359,141,GRANDMASTER,206,60,70,730,3.00684462696783,1461,64,1397,4393
2022-12-16,selimsef,360,9,EXPERT,206,14,14,76,10.78740157480315,127,6,121,1370
2022-12-16,tvdwiele,361,56,EXPERT,206,15,29,170,5.260223048327138,269,15,254,1415
2022-12-16,fankaixie,362,102,EXPERT,206,7,2,47,3.8705882352941177,85,8,77,329
2022-12-16,alincijov,363,398,EXPERT,206,1,10,543,0.433277027027027,1184,22,1162,513
2022-12-16,allunia,364,183,EXPERT,205,9,14,121,2.3490196078431373,255,11,244,599
2022-12-16,sonalisingh1411,365,379,EXPERT,205,1,1,320,0.6115326251896813,659,1,658,403
2022-12-16,harangdev,366,51,EXPERT,204,10,9,116,5.433962264150943,212,12,200,1152
2022-12-16,datafan07,367,239,EXPERT,204,10,8,221,1.721698113207547,424,12,412,730
2022-12-16,xiaowangiiiii,368,194,EXPERT,203,8,6,108,2.193717277486911,191,22,169,419
2022-12-16,drtausamaru,369,173,EXPERT,203,12,15,151,2.476014760147601,271,16,255,671
2022-12-16,cyruskouhyar,370,348,EXPERT,203,1,0,353,0.7534791252485089,503,1,502,379
2022-12-16,nikhilmishradev,371,170,EXPERT,202,11,13,139,2.496376811594203,276,32,244,689
2022-12-16,firuzjuraev,372,319,EXPERT,202,1,2,289,0.9080188679245284,424,5,419,385
2022-12-16,superant,373,250,EXPERT,201,9,25,262,1.616949152542373,590,44,546,954
2022-12-16,sandeepgauti,374,368,EXPERT,201,0,1,193,0.6556291390728477,302,1,301,198
2022-12-16,shahules,375,272,MASTER,200,23,29,410,1.2977824709609294,947,81,866,1229
2022-12-16,ashwinshetgaonkar,376,333,EXPERT,200,1,5,243,0.7985781990521327,422,5,417,337
2022-12-16,nxrprime,377,258,EXPERT,199,18,27,419,1.4274725274725275,910,82,828,1299
2022-12-16,scirpus,378,188,GRANDMASTER,198,76,113,782,2.294354838709677,1736,164,1572,3983
2022-12-16,vainero,379,395,EXPERT,198,0,0,215,0.4689507494646681,467,0,467,219
2022-12-16,sytuannguyen,380,256,EXPERT,198,7,16,110,1.4864864864864864,259,29,230,385
2022-12-16,mohidabdulrehman,381,332,EXPERT,198,1,0,194,0.8181818181818182,275,2,273,225
2022-12-16,hannes82,382,225,EXPERT,197,4,8,136,1.9057377049180328,244,7,237,465
2022-12-16,rishirajacharya,383,187,EXPERT,196,11,6,71,2.3197278911564627,147,26,121,341
2022-12-16,nlztrk,384,151,EXPERT,196,6,11,68,2.846774193548387,124,18,106,353
2022-12-16,weka511,385,302,EXPERT,194,2,8,264,1.024,500,41,459,512
2022-12-16,ludovicocuoghi,386,373,EXPERT,194,0,1,386,0.6211267605633802,710,0,710,441
2022-12-16,gaganmaahi224,387,369,EXPERT,194,0,0,402,0.6400560224089635,714,0,714,457
2022-12-16,adamwurdits,388,163,EXPERT,193,7,5,106,2.6582278481012658,158,10,148,420
2022-12-16,julian3833,389,240,EXPERT,192,9,7,129,1.7132867132867131,286,19,267,490
2022-12-16,sayedathar11,390,220,EXPERT,192,12,15,163,1.932907348242812,313,68,245,605
2022-12-16,manwithaflower,391,271,EXPERT,192,4,9,117,1.3083333333333331,240,39,201,314
2022-12-16,sardorabdirayimov,392,259,EXPERT,192,5,5,165,1.4259927797833936,277,29,248,395
2022-12-16,kwentar,393,123,EXPERT,191,5,4,55,3.302521008403361,119,6,113,393
2022-12-16,oscarm524,394,331,EXPERT,190,1,4,157,0.822463768115942,276,6,270,227
2022-12-16,mahmoudahmed6,395,290,EXPERT,190,2,6,82,1.1146666666666667,375,30,345,418
2022-12-16,tejasurya,396,323,EXPERT,189,2,0,185,0.8448275862068966,290,2,288,245
2022-12-16,durgeshrao9993,397,305,EXPERT,189,2,8,230,0.9954545454545456,440,31,409,438
2022-12-16,jtrotman,398,139,MASTER,188,22,32,253,3.0375275938189845,453,41,412,1376
2022-12-16,fatihozturk,399,126,MASTER,188,30,37,274,3.2509578544061304,522,23,499,1697
2022-12-16,bwandowando,400,394,EXPERT,188,0,3,146,0.4749163879598662,299,19,280,142
2022-12-19,cdeotte,1,61,GRANDMASTER,9237,388,519,4405,5.062416998671979,8283,235,8048,41932
2022-12-19,hengck23,2,71,GRANDMASTER,5458,419,484,2745,4.782993197278912,5880,580,5300,28124
2022-12-19,mpwolke,3,319,GRANDMASTER,5280,74,109,9571,0.915422360576162,18953,788,18165,17350
2022-12-19,cpmpml,4,136,GRANDMASTER,4382,449,583,4515,3.0972065895835463,9773,457,9316,30269
2022-12-19,thedevastator,5,288,GRANDMASTER,3639,64,51,2225,1.1409628722970215,4902,135,4767,5593
2022-12-19,ravi20076,6,324,MASTER,3109,22,29,2759,0.8647780925401322,5295,48,5247,4579
2022-12-19,ambrosm,7,32,GRANDMASTER,2470,64,56,420,6.845112781954887,665,52,613,4552
2022-12-19,carlmcbrideellis,8,137,GRANDMASTER,2177,102,118,1370,3.0879765395894427,2046,133,1913,6318
2022-12-19,philippsinger,9,100,GRANDMASTER,2026,146,212,1122,3.932150776053215,2255,59,2196,8867
2022-12-19,dschettler8845,10,111,GRANDMASTER,1918,72,51,500,3.617700729927008,1096,123,973,3965
2022-12-19,remekkinas,11,187,GRANDMASTER,1843,69,33,894,2.329473684210526,1900,78,1822,4426
2022-12-19,vad13irt,12,158,GRANDMASTER,1743,72,36,709,2.73653984206748,1393,101,1292,3812
2022-12-19,usharengaraju,13,90,GRANDMASTER,1689,103,32,879,4.150730411686587,1506,151,1355,6251
2022-12-19,nancyalaswad90,14,309,MASTER,1610,43,10,1125,0.9845496383957922,3042,51,2991,2995
2022-12-19,raddar,15,36,GRANDMASTER,1574,106,126,516,6.22930542340628,1051,68,983,6547
2022-12-19,radek1,16,84,MASTER,1390,52,26,302,4.2901325478645065,679,82,597,2913
2022-12-19,abhishek,17,120,GRANDMASTER,1375,150,149,905,3.417677642980936,2308,270,2038,7888
2022-12-19,gunesevitan,18,104,GRANDMASTER,1267,99,93,668,3.7853618421052633,1216,105,1111,4603
2022-12-19,theoviel,19,74,GRANDMASTER,1259,82,64,489,4.5949656750572085,874,59,815,4016
2022-12-19,muhammedtausif,20,304,MASTER,1258,19,33,1077,1.0145199063231851,2135,125,2010,2166
2022-12-19,mugentk,21,11,GRANDMASTER,1200,81,49,604,10.417067307692308,832,52,780,8667
2022-12-19,surajjha101,22,297,EXPERT,1114,22,14,1165,1.0656018254420994,1753,16,1737,1868
2022-12-19,lucamassaron,23,108,GRANDMASTER,1099,65,37,476,3.7230255839822015,899,113,786,3347
2022-12-19,xhlulu,24,59,GRANDMASTER,1086,74,61,376,5.177615571776156,822,134,688,4256
2022-12-19,init27,25,114,GRANDMASTER,1078,64,56,489,3.5848837209302324,860,111,749,3083
2022-12-19,lucasmorin,26,171,MASTER,1078,43,56,523,2.491786447638604,974,101,873,2427
2022-12-19,andradaolteanu,27,26,MASTER,1064,41,27,184,7.605113636363637,352,66,286,2677
2022-12-19,ravishah1,28,16,EXPERT,1062,37,11,84,9.887573964497042,169,64,105,1671
2022-12-19,awsaf49,29,141,MASTER,1055,41,26,317,3.028225806451613,744,83,661,2253
2022-12-19,ruchi798,30,48,GRANDMASTER,1050,50,39,420,5.704331450094162,531,102,429,3029
2022-12-19,michau96,31,257,MASTER,1031,43,34,728,1.4721289456010749,1489,74,1415,2192
2022-12-19,kirderf,32,211,GRANDMASTER,1007,55,71,491,2.009795918367347,1225,194,1031,2462
2022-12-19,yasufuminakama,33,35,MASTER,1006,41,26,216,6.27,400,26,374,2508
2022-12-19,tilii7,34,113,GRANDMASTER,995,98,149,971,3.6002227171492205,1796,128,1668,6466
2022-12-19,crained,35,121,GRANDMASTER,992,56,39,435,3.399127589967285,917,150,767,3117
2022-12-19,faisaljanjua0555,36,321,EXPERT,984,3,7,885,0.9023611997447352,1567,51,1516,1414
2022-12-19,nejumi,37,25,EXPERT,981,64,31,93,7.613466334164588,401,83,318,3053
2022-12-19,crodoc,38,115,MASTER,981,44,17,200,3.566893424036281,441,62,379,1573
2022-12-19,desalegngeb,39,249,MASTER,956,27,37,847,1.6242690058479532,1368,73,1295,2222
2022-12-19,kritidoneria,40,242,MASTER,949,43,40,697,1.7029578351164254,1589,167,1422,2706
2022-12-19,nbroad,41,124,MASTER,939,42,39,307,3.296625222024866,563,62,501,1856
2022-12-19,mragpavank,42,239,GRANDMASTER,923,51,25,655,1.7215384615384617,1300,156,1144,2238
2022-12-19,christofhenkel,43,44,GRANDMASTER,918,122,128,515,5.791044776119403,1072,84,988,6208
2022-12-19,haqishen,44,37,MASTER,913,55,36,260,6.227848101265823,553,49,504,3444
2022-12-19,aerdem4,45,63,GRANDMASTER,903,99,116,444,4.977142857142857,875,66,809,4355
2022-12-19,titericz,46,29,GRANDMASTER,902,110,120,525,7.113226452905812,998,58,940,7099
2022-12-19,gogo827jz,47,67,GRANDMASTER,899,68,81,628,4.871591908531222,1137,89,1048,5539
2022-12-19,robikscube,48,135,GRANDMASTER,888,84,65,687,3.1030110935023774,1262,85,1177,3916
2022-12-19,caesarmario,49,397,EXPERT,882,3,2,1305,0.4593094944512947,3244,3,3241,1490
2022-12-19,kyakovlev,50,39,GRANDMASTER,869,65,80,436,6.090697674418605,860,32,828,5238
2022-12-19,yacharki,51,348,EXPERT,851,7,10,847,0.7554300608166812,2302,79,2223,1739
2022-12-19,varunsaikanuri,52,381,EXPERT,847,3,0,848,0.6102564102564103,1560,5,1555,952
2022-12-19,sudalairajkumar,53,94,GRANDMASTER,834,61,46,418,4.079900124843945,801,91,710,3268
2022-12-19,alejopaullier,54,125,MASTER,833,28,25,167,3.274924471299093,331,73,258,1084
2022-12-19,samuelcortinhas,55,228,EXPERT,831,24,23,412,1.8739376770538243,706,80,626,1323
2022-12-19,headsortails,56,234,GRANDMASTER,812,113,77,675,1.7733510402833113,2259,151,2108,4006
2022-12-19,rdizzl3,57,72,GRANDMASTER,802,58,54,412,4.710204081632653,735,68,667,3462
2022-12-19,shubhamptrivedi,58,317,EXPERT,800,31,2,462,0.9329738058551618,1298,30,1268,1211
2022-12-19,ootake,59,14,MASTER,795,44,55,102,9.969827586206897,232,12,220,2313
2022-12-19,mattop,60,342,EXPERT,785,4,5,851,0.7795889440113395,1411,13,1398,1100
2022-12-19,kmldas,61,134,GRANDMASTER,775,56,45,420,3.1201602136181577,749,179,570,2337
2022-12-19,karnikakapoor,62,323,EXPERT,771,7,6,1695,0.8739851747264384,2833,12,2821,2476
2022-12-19,trushk,63,151,MASTER,770,34,31,278,2.8579545454545454,528,47,481,1509
2022-12-19,iamsouravbanerjee,64,260,EXPERT,758,22,4,715,1.42368177613321,1081,25,1056,1539
2022-12-19,thedrcat,65,81,MASTER,754,39,25,219,4.398058252427185,412,60,352,1812
2022-12-19,group16,66,85,MASTER,743,45,48,417,4.27830832196453,733,53,680,3136
2022-12-19,kinnerakiran,67,327,EXPERT,727,10,31,401,0.8382749326145552,1484,200,1284,1244
2022-12-19,tyonemoto,68,5,MASTER,722,40,64,178,12.6840490797546,326,23,303,4135
2022-12-19,ohseokkim,69,361,EXPERT,706,2,3,1294,0.6890826068908261,2409,8,2401,1660
2022-12-19,odins0n,70,278,EXPERT,702,12,14,585,1.2519893899204244,1131,14,1117,1416
2022-12-19,gpreda,71,165,GRANDMASTER,697,62,69,574,2.609429978888107,1421,185,1236,3708
2022-12-19,slawekbiel,72,58,MASTER,688,28,23,197,5.214705882352941,340,32,308,1773
2022-12-19,allohvk,73,192,MASTER,687,26,32,541,2.26095423563778,1027,52,975,2322
2022-12-19,kneroma,74,41,MASTER,685,51,26,215,6.011764705882353,425,53,372,2555
2022-12-19,bansodesandeep,75,338,EXPERT,681,3,0,685,0.794392523364486,1070,2,1068,850
2022-12-19,eisgandar,76,351,EXPERT,680,4,2,739,0.7481840193704601,1239,27,1212,927
2022-12-19,tanulsingh077,77,126,MASTER,679,42,30,307,3.258992805755396,695,70,625,2265
2022-12-19,snnclsr,78,107,MASTER,678,27,27,162,3.756521739130435,345,57,288,1296
2022-12-19,drhabib,79,79,GRANDMASTER,675,54,80,420,4.455263157894737,760,21,739,3386
2022-12-19,tanmay111999,80,328,EXPERT,675,4,1,638,0.8367556468172485,974,7,967,815
2022-12-19,tunguz,81,57,GRANDMASTER,663,154,168,722,5.218446601941747,1442,164,1278,7525
2022-12-19,hasanbasriakcay,82,296,EXPERT,663,14,9,696,1.0682492581602374,1011,35,976,1080
2022-12-19,kaggleqrdl,83,294,EXPERT,662,12,29,379,1.110609480812641,886,87,799,984
2022-12-19,duykhanh99,84,132,MASTER,659,34,28,452,3.149460708782742,649,49,600,2044
2022-12-19,pythonafroz,85,386,EXPERT,653,1,4,737,0.5873715124816447,1362,5,1357,800
2022-12-19,shivamb,86,159,GRANDMASTER,646,51,29,440,2.7229038854805725,978,77,901,2663
2022-12-19,kalilurrahman,87,245,MASTER,645,25,33,345,1.667433831990794,869,119,750,1449
2022-12-19,ragnar123,88,160,MASTER,641,27,46,349,2.715890850722311,623,51,572,1692
2022-12-19,senkin13,89,38,EXPERT,634,26,12,138,6.215277777777778,288,30,258,1790
2022-12-19,jonaspalucibarbosa,90,143,EXPERT,624,12,18,372,3.0,597,30,567,1791
2022-12-19,lordozvlad,91,326,EXPERT,613,8,8,1357,0.838943894389439,1515,12,1503,1271
2022-12-19,arezoodahesh,92,332,EXPERT,610,3,0,871,0.8225331369661266,1358,4,1354,1117
2022-12-19,azminetoushikwasi,93,97,MASTER,602,21,31,161,4.04245283018868,212,68,144,857
2022-12-19,yassinealouini,94,226,MASTER,600,46,55,713,1.8835913312693493,1615,157,1458,3042
2022-12-19,ramjasmaurya,95,281,EXPERT,591,5,17,523,1.2188515709642471,923,106,817,1125
2022-12-19,goldenlock,96,180,EXPERT,589,8,21,216,2.3734939759036147,415,24,391,985
2022-12-19,mrinath,97,255,EXPERT,581,24,25,431,1.508695652173913,920,76,844,1388
2022-12-19,hiroshioshio,98,1,EXPERT,581,33,36,56,16.03030303030303,132,11,121,2116
2022-12-19,cv13j0,99,352,EXPERT,578,4,5,815,0.7477423239012643,1661,23,1638,1242
2022-12-19,alexryzhkov,100,190,EXPERT,569,27,12,250,2.271784232365145,482,44,438,1095
2022-12-19,jesucristo,101,118,GRANDMASTER,566,74,80,600,3.452648475120385,1246,190,1056,4302
2022-12-19,nischaydnk,102,196,MASTER,559,27,29,382,2.1661849710982657,692,33,659,1499
2022-12-19,aminizahra,103,344,EXPERT,557,7,4,846,0.7726432532347505,1623,10,1613,1254
2022-12-19,hasibalmuzdadid,104,330,EXPERT,556,3,2,542,0.8315217391304348,920,13,907,765
2022-12-19,faisalalsrheed,105,146,MASTER,550,23,28,237,2.966960352422908,454,83,371,1347
2022-12-19,takoihiraokazu,106,3,EXPERT,547,43,23,48,13.172932330827068,133,16,117,1752
2022-12-19,authman,107,179,GRANDMASTER,547,51,79,566,2.3737821080602304,1129,97,1032,2680
2022-12-19,mobassir,108,237,GRANDMASTER,547,58,72,871,1.7353348729792148,2165,318,1847,3757
2022-12-19,balabaskar,109,236,EXPERT,544,22,15,407,1.748407643312102,628,76,552,1098
2022-12-19,konradb,110,152,GRANDMASTER,542,84,94,646,2.8465608465608465,1323,116,1207,3766
2022-12-19,anjum48,111,109,MASTER,542,39,51,276,3.6609523809523807,525,54,471,1922
2022-12-19,georgyzubkov,112,388,EXPERT,542,2,0,636,0.5728451563691839,1311,0,1311,751
2022-12-19,wuwenmin,113,233,EXPERT,541,15,12,198,1.816993464052288,459,45,414,834
2022-12-19,saurabhbagchi,114,254,EXPERT,531,18,19,627,1.5216515609264851,993,62,931,1511
2022-12-19,jpmiller,115,164,GRANDMASTER,508,50,69,467,2.6489675516224187,1017,125,892,2694
2022-12-19,sandhyakrishnan02,116,264,EXPERT,505,13,15,314,1.3800738007380071,542,30,512,748
2022-12-19,gvyshnya,117,252,EXPERT,504,13,27,843,1.5678280207561155,1349,55,1294,2115
2022-12-19,avikumart,118,329,EXPERT,504,7,4,467,0.8339181286549707,855,15,840,713
2022-12-19,soumendraprasad,119,292,EXPERT,502,4,9,351,1.114119922630561,517,36,481,576
2022-12-19,heyrobin,120,311,EXPERT,500,7,2,711,0.9723593287265548,1013,13,1000,985
2022-12-19,artgor,121,148,GRANDMASTER,499,93,85,713,2.9539877300613497,1630,76,1554,4815
2022-12-19,mohamedhanyyy,122,230,MASTER,499,18,37,625,1.8512476007677543,1042,132,910,1929
2022-12-19,onodera,123,45,MASTER,490,64,64,247,5.761029411764706,544,36,508,3134
2022-12-19,ipythonx,124,198,MASTER,489,35,37,477,2.1345338983050848,944,89,855,2015
2022-12-19,alexandervc,125,262,EXPERT,487,14,29,150,1.4174603174603175,630,199,431,893
2022-12-19,ttahara,126,60,MASTER,484,38,24,172,5.153424657534247,365,42,323,1881
2022-12-19,ryosukemoriz,127,17,MASTER,477,18,60,233,9.521739130434783,391,1,390,3723
2022-12-19,programmerrdai,128,310,EXPERT,471,12,10,313,0.9752421959095802,929,133,796,906
2022-12-19,serigne,129,145,GRANDMASTER,469,51,124,705,2.999195494770716,1243,50,1193,3728
2022-12-19,readoc,130,103,EXPERT,469,18,28,121,3.856573705179283,251,63,188,968
2022-12-19,tatamikenn,131,197,EXPERT,469,22,25,136,2.143564356435644,404,57,347,866
2022-12-19,phalanx,132,6,EXPERT,467,29,35,69,12.313253012048191,166,18,148,2044
2022-12-19,ilu000,133,167,MASTER,463,16,60,496,2.5205949656750573,874,25,849,2203
2022-12-19,berkayalan,134,193,MASTER,461,11,51,310,2.2173274596182084,681,407,274,1510
2022-12-19,vaillant,135,15,EXPERT,460,28,26,99,9.960199004975124,201,21,180,2002
2022-12-19,pestipeti,136,69,MASTER,455,49,35,303,4.812807881773399,609,41,568,2931
2022-12-19,ryches,137,80,GRANDMASTER,455,70,61,393,4.416983523447402,789,104,685,3485
2022-12-19,suicaokhoailang,138,64,MASTER,450,50,68,238,4.953033268101761,511,35,476,2531
2022-12-19,jiweiliu,139,138,GRANDMASTER,449,74,93,616,3.0512445095168377,1366,137,1229,4168
2022-12-19,bamps53,140,116,MASTER,449,37,26,194,3.536697247706422,436,40,396,1542
2022-12-19,pranjalverma08,141,144,MASTER,448,35,35,293,3.0,563,83,480,1689
2022-12-19,chris62,142,46,EXPERT,445,15,18,98,5.718562874251497,167,17,150,955
2022-12-19,takamichitoda,143,73,EXPERT,445,25,9,96,4.678391959798995,199,35,164,931
2022-12-19,muhammadahmed68,144,339,EXPERT,445,2,1,970,0.7923497267759563,915,3,912,725
2022-12-19,nakamuran,145,10,MASTER,442,17,53,180,10.596491228070176,285,0,285,3020
2022-12-19,khashayarrahimi94,146,365,EXPERT,440,1,6,437,0.6648291069459757,907,38,869,603
2022-12-19,qusaybtoush1990,147,88,EXPERT,438,0,0,581,4.211100099108028,1009,2,1007,4249
2022-12-19,matthewmasters,148,170,MASTER,435,23,43,573,2.499572284003422,1169,48,1121,2922
2022-12-19,nyanpn,149,22,EXPERT,434,27,23,90,7.964285714285714,196,13,183,1561
2022-12-19,kaerunantoka,150,27,EXPERT,434,17,8,55,7.428571428571429,126,17,109,936
2022-12-19,yuanzhezhou,151,202,EXPERT,431,11,10,187,2.0706521739130435,368,18,350,762
2022-12-19,yus002,152,172,MASTER,431,38,20,304,2.487695749440716,447,26,421,1112
2022-12-19,sisharaneranjana,153,353,EXPERT,430,4,1,726,0.7379310344827587,1160,4,1156,856
2022-12-19,jacob34,154,153,EXPERT,428,23,15,189,2.84297520661157,363,34,329,1032
2022-12-19,zzy990106,155,130,EXPERT,423,12,18,163,3.192727272727273,275,11,264,878
2022-12-19,ahmedshahriarsakib,156,302,EXPERT,421,5,17,598,1.033301617507136,1051,51,1000,1086
2022-12-19,subhamjain,157,206,EXPERT,420,20,8,358,2.04728370221328,994,27,967,2035
2022-12-19,vahidehdashti,158,293,EXPERT,418,3,6,886,1.1126418152350082,1234,10,1224,1373
2022-12-19,seabreeze,159,385,EXPERT,415,3,21,533,0.5929133858267717,2540,22,2518,1506
2022-12-19,harshitsheoran,160,283,EXPERT,415,11,9,214,1.2023608768971332,593,28,565,713
2022-12-19,anandhuh,161,204,EXPERT,413,16,12,453,2.058700209643606,954,36,918,1964
2022-12-19,rhtsingh,162,110,EXPERT,410,12,16,214,3.637777777777778,450,19,431,1637
2022-12-19,ninjaac,163,343,EXPERT,410,1,1,603,0.7728643216080402,995,5,990,769
2022-12-19,dwchen,164,150,MASTER,406,30,27,151,2.911602209944751,362,99,263,1054
2022-12-19,rohanrao,165,62,GRANDMASTER,404,57,57,419,4.977611940298507,670,53,617,3335
2022-12-19,devsubhash,166,369,EXPERT,402,0,0,557,0.6582138919514884,907,0,907,597
2022-12-19,forcewithme,167,147,EXPERT,402,14,16,84,2.9615384615384617,208,23,185,616
2022-12-19,debarshichanda,168,223,EXPERT,401,19,13,238,1.9237918215613383,538,30,508,1035
2022-12-19,pourchot,169,268,EXPERT,400,13,13,325,1.3622704507512522,599,27,572,816
2022-12-19,kanuriviveknag,170,367,EXPERT,398,3,0,374,0.6595041322314049,605,4,601,399
2022-12-19,fritzcremer,171,129,EXPERT,391,15,25,116,3.1941747572815533,206,37,169,658
2022-12-19,chumajin,172,215,EXPERT,390,14,4,155,2.002832861189802,353,13,340,707
2022-12-19,vladvdv,173,117,MASTER,388,36,27,214,3.536263736263736,455,43,412,1609
2022-12-19,iafoss,174,232,MASTER,382,29,39,482,1.8342629482071715,1255,25,1230,2302
2022-12-19,pcjimmmy,175,284,EXPERT,380,14,34,657,1.194769442532691,1453,24,1429,1736
2022-12-19,maxdiazbattan,176,277,EXPERT,377,9,8,359,1.268041237113402,582,22,560,738
2022-12-19,zaharch,177,87,MASTER,376,44,44,284,4.21780303030303,528,41,487,2227
2022-12-19,hidehisaarai1213,178,76,MASTER,371,32,39,218,4.502392344497608,418,27,391,1882
2022-12-19,paweljankiewicz,179,55,EXPERT,366,14,32,144,5.274368231046932,277,13,264,1461
2022-12-19,evilpsycho42,180,155,EXPERT,365,11,12,86,2.7857142857142856,182,28,154,507
2022-12-19,hattan0523,181,4,EXPERT,365,26,21,18,12.68421052631579,76,7,69,964
2022-12-19,dwin183287,182,358,EXPERT,363,3,2,1088,0.6965302951838426,1931,3,1928,1345
2022-12-19,davidbroberts,183,213,EXPERT,360,12,24,197,2.007936507936508,378,56,322,759
2022-12-19,jaideepvalani,184,399,EXPERT,357,16,26,442,0.3819188191881918,2168,291,1877,828
2022-12-19,vencerlanz09,185,331,EXPERT,357,3,1,691,0.8249027237354085,514,36,478,424
2022-12-19,shinmurashinmura,186,24,EXPERT,357,23,8,55,7.645161290322581,124,24,100,948
2022-12-19,sugataghosh,187,349,EXPERT,354,1,5,307,0.7549342105263158,608,15,593,459
2022-12-19,pranav941,188,389,EXPERT,353,0,1,360,0.5693215339233039,678,8,670,386
2022-12-19,carnozhao,189,65,EXPERT,352,10,5,52,4.9491525423728815,118,12,106,584
2022-12-19,shaz13,190,162,GRANDMASTER,348,52,30,454,2.668831168831169,924,82,842,2466
2022-12-19,abhishek14398,191,270,EXPERT,344,3,7,239,1.3435251798561152,556,84,472,747
2022-12-19,lukaszborecki,192,195,EXPERT,344,14,17,221,2.185378590078329,383,22,361,837
2022-12-19,aishwarya2210,193,316,EXPERT,344,2,3,452,0.9349030470914128,722,0,722,675
2022-12-19,snaker,194,139,EXPERT,340,13,18,78,3.0386473429951693,207,26,181,629
2022-12-19,adityaecdrid,195,282,MASTER,336,31,39,913,1.2027586206896552,2175,38,2137,2616
2022-12-19,muhammadimran112233,196,378,EXPERT,336,0,1,533,0.6158868335146899,919,6,913,566
2022-12-19,jbomitchell,197,224,EXPERT,335,10,20,270,1.9125,400,19,381,765
2022-12-19,datahobbit,198,154,MASTER,334,26,38,355,2.833876221498372,614,41,573,1740
2022-12-19,robga,199,157,MASTER,334,18,39,309,2.7490272373540856,514,11,503,1413
2022-12-19,hydantess,200,105,EXPERT,334,9,7,59,3.782608695652174,115,8,107,435
2022-12-19,amedprof,201,43,EXPERT,331,18,10,105,5.796610169491525,177,25,152,1026
2022-12-19,hadeux,202,290,EXPERT,330,1,2,460,1.1158238172920063,613,2,611,684
2022-12-19,daishu,203,78,EXPERT,328,20,13,100,4.475206611570248,242,30,212,1083
2022-12-19,psilogram,204,7,EXPERT,327,35,32,93,11.780952380952382,210,15,195,2474
2022-12-19,fareselmenshawii,205,394,EXPERT,324,1,2,303,0.4943052391799544,878,4,874,434
2022-12-19,vivek468,206,318,EXPERT,323,4,5,538,0.9297848244620612,883,12,871,821
2022-12-19,xia464,207,8,EXPERT,323,25,31,52,10.9672131147541,122,13,109,1338
2022-12-19,roberthatch,208,235,EXPERT,323,7,7,133,1.753787878787879,264,11,253,463
2022-12-19,sasakitetsuya,209,393,EXPERT,322,0,0,409,0.5071982281284607,903,3,900,458
2022-12-19,lftuwujie,210,201,MASTER,319,24,26,210,2.076109936575053,473,42,431,982
2022-12-19,mpware,211,175,MASTER,317,30,32,334,2.467551622418879,678,34,644,1673
2022-12-19,blankaf,212,212,EXPERT,316,8,21,99,2.0093023255813955,215,15,200,432
2022-12-19,tayyarhussain,213,364,EXPERT,315,1,0,327,0.6689655172413793,580,2,578,388
2022-12-19,kaanboke,214,301,EXPERT,315,9,10,519,1.039553752535497,986,24,962,1025
2022-12-19,bowaka,215,93,EXPERT,314,20,11,144,4.117903930131004,229,41,188,943
2022-12-19,t88take,216,20,EXPERT,314,23,25,75,8.735714285714286,140,13,127,1223
2022-12-19,dragonzhang,217,384,EXPERT,314,3,15,249,0.6022304832713755,807,108,699,486
2022-12-19,jarredpriester,218,345,EXPERT,314,1,5,320,0.7686274509803922,510,12,498,392
2022-12-19,meli19,219,217,EXPERT,313,8,20,140,1.9896907216494848,291,11,280,579
